molecule_chembl_id,smiles,pchembl_value,qed,sascore,mw,logp,hbd,hba,heavy_atoms,lipinski_pass,valid,max_tanimoto_to_known_drug,closest_known_drug
CHEMBL305782,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,6.75,0.40698842908773314,2.9249551736837507,455.8770000000003,4.467540000000002,4,5,32,4,True,0.29896907216494845,Gefitinib
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,6.35,0.31981234768945394,3.065544162014712,511.9890000000001,4.213520000000002,4,6,36,3,True,0.21666666666666667,Afatinib
CHEMBL133023,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,7.62,0.5780326202465983,2.491696416330477,306.3730000000001,4.2421200000000026,1,5,23,4,True,0.3787878787878788,Erlotinib
CHEMBL136674,COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.15,0.34452587864909073,2.6807960201597822,401.2680000000001,4.561400000000003,2,6,25,4,True,0.4411764705882353,Erlotinib
CHEMBL73820,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,4.60,0.38076322332403434,2.330805426496225,205.16899999999998,1.0893799999999998,3,4,15,4,True,0.0989010989010989,Osimertinib
CHEMBL77803,N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,6.30,0.43047358018284576,3.168502732982149,331.129,2.027240000000001,3,6,20,4,True,0.06930693069306931,Afatinib
CHEMBL432941,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,5.05,0.4644746463422631,2.696122664831318,442.5150000000003,5.079000000000003,3,3,33,3,True,0.13559322033898305,Osimertinib
CHEMBL322395,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,5.52,0.3071423430162742,2.510794831356794,519.4320000000004,6.664680000000005,1,6,36,2,True,0.3516483516483517,Gefitinib
CHEMBL431996,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,4.25,0.5943541658077995,2.713385538820404,380.4000000000002,3.101600000000002,4,3,28,4,True,0.09734513274336283,Osimertinib
CHEMBL86531,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,4.54,0.5529148045988513,2.8167401351964383,415.4710000000003,2.0508,4,4,29,4,True,0.09401709401709402,Osimertinib
CHEMBL138691,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.38,0.5651111526842606,2.8106433771845705,441.3330000000001,3.6115000000000013,1,6,28,4,True,0.32323232323232326,Afatinib
CHEMBL52829,Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,8.40,0.7949409635456117,2.370062081970632,280.33500000000004,2.53782,1,6,21,4,True,0.31343283582089554,Erlotinib
CHEMBL52823,Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,6.42,0.7256571340036955,2.3018083840839587,271.71100000000007,3.1252200000000014,1,5,19,4,True,0.3230769230769231,Erlotinib
CHEMBL139307,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.48,0.46727417687679135,2.6371815935125618,496.40900000000005,4.377200000000003,1,6,32,4,True,0.3888888888888889,Gefitinib
CHEMBL322298,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,6.70,0.4799000606352366,2.3215808138934317,411.2920000000001,5.528800000000003,1,4,28,3,True,0.1875,Erlotinib
CHEMBL111434,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,6.17,0.4058648799473121,2.4353232213909983,476.1610000000001,5.8084000000000024,1,4,28,3,True,0.18518518518518517,Erlotinib
CHEMBL111197,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,7.52,0.4935322643431872,2.3747898746169085,427.2910000000001,5.054500000000003,1,5,29,3,True,0.20987654320987653,Erlotinib
CHEMBL136058,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,9.09,0.28004675976480164,2.716043022065346,540.4220000000001,2.8641000000000005,3,8,35,3,True,0.38461538461538464,Gefitinib
CHEMBL51854,COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,8.42,0.7949884729056615,2.4199855566646473,332.16100000000006,2.9345,1,6,20,4,True,0.36923076923076925,Erlotinib
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,6.29,0.517854527865434,2.337357549756243,446.9100000000004,4.275600000000003,1,7,31,4,True,1.0,Gefitinib
CHEMBL95320,C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,6.07,0.3956914290015338,2.637848388131351,417.46500000000026,3.8817800000000027,1,7,31,4,True,0.6610169491525424,Erlotinib
CHEMBL298931,Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,7.77,0.7251543913095554,2.273421251216824,252.28100000000003,2.0540199999999995,2,6,19,4,True,0.3230769230769231,Erlotinib
CHEMBL292323,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,5.19,0.15905071896979403,2.895800512562177,622.7719999999999,7.991200000000005,2,6,44,2,True,0.21505376344086022,Osimertinib
CHEMBL334334,COC(=O)c1cccc(NCc2cc(O)ccc2O)c1,5.05,0.5889434026503025,1.918954806380448,273.28799999999995,2.4965,3,5,20,4,True,0.18055555555555555,Erlotinib
CHEMBL545315,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,8.82,0.27442022230969587,2.7575200325402243,558.8690000000005,5.235100000000005,2,7,36,2,True,0.6883116883116883,Gefitinib
CHEMBL111365,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,5.89,0.5174170530432375,2.5518450340915813,428.2790000000001,4.449500000000002,1,6,29,4,True,0.21978021978021978,Gefitinib
CHEMBL52591,CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,8.37,0.7583117224232309,2.3212577052057615,266.308,2.5135200000000006,2,6,20,4,True,0.3181818181818182,Erlotinib
CHEMBL132907,COC(=O)c1cc(NCc2ccccc2O)ccc1O,4.70,0.5889434026503026,1.8909929931936365,273.28800000000007,2.4965000000000006,3,5,20,4,True,0.1527777777777778,Erlotinib
CHEMBL422292,CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.82,0.4440299226116634,2.5322517754318934,442.2730000000001,3.588700000000001,2,7,28,4,True,0.33766233766233766,Erlotinib
CHEMBL113023,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,6.60,0.46173229035780217,2.437241065705223,441.31800000000015,5.3629200000000035,1,5,30,3,True,0.2391304347826087,Gefitinib
CHEMBL417420,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.54,0.5380965898414123,2.5060297874800863,444.3370000000004,3.0601000000000003,2,8,28,4,True,0.3764705882352941,Gefitinib
CHEMBL304414,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,5.00,0.19368010334288868,2.5902485480836397,562.7200000000003,7.9740000000000055,2,4,40,2,True,0.19101123595505617,Osimertinib
CHEMBL106232,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,5.35,0.4803685031399147,2.619091781895664,489.4510000000003,4.131900000000003,1,6,33,4,True,0.20833333333333334,Gefitinib
CHEMBL327127,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,7.05,0.5001246728252937,2.4603996307144698,427.29100000000017,4.538200000000003,2,5,29,4,True,0.1927710843373494,Erlotinib
CHEMBL294475,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,9.09,0.6174903737511086,2.499793269530329,430.31000000000034,2.67,2,8,27,4,True,0.35294117647058826,Gefitinib
CHEMBL293261,O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,6.07,0.09895829184763096,2.8068051241811425,618.8280000000002,7.946600000000007,4,4,44,2,True,0.12244897959183673,Osimertinib
CHEMBL53310,CNc1ncc2ncnc(Nc3ccccc3)c2n1,7.89,0.7439378482757567,2.225281635832209,252.28100000000003,2.2051,2,6,19,4,True,0.28125,Erlotinib
CHEMBL267019,O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,5.60,0.35944773615677444,2.366143943856004,361.3570000000001,3.4686000000000003,5,6,27,4,True,0.12643678160919541,Osimertinib
CHEMBL285063,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.15,0.6747178471005569,2.2025614512955105,369.22200000000004,4.260400000000002,2,4,23,4,True,0.32857142857142857,Erlotinib
CHEMBL136404,C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.30,0.6639155212371507,2.513495011347878,384.2370000000001,4.045500000000002,2,5,24,4,True,0.3333333333333333,Erlotinib
CHEMBL291979,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(C#N)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(C#N)ccc21,4.27,0.1784364307895686,3.029079204705014,612.7400000000001,7.717360000000005,2,6,44,2,True,0.16666666666666666,Erlotinib
CHEMBL62843,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccc(O)c3n2C)c(C(=O)Nc2ccccc2)c2cccc(O)c21,4.00,0.14364968407208228,2.996827237125494,594.7180000000003,7.3852000000000055,4,6,42,2,True,0.16216216216216217,Erlotinib
CHEMBL334697,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.77,0.6952765618145935,2.6994233017275757,384.2370000000001,3.679700000000002,1,5,24,4,True,0.3424657534246575,Erlotinib
CHEMBL434827,CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.14,0.25694104373063337,2.724267373152596,526.4390000000001,3.8737000000000013,3,7,34,3,True,0.32038834951456313,Afatinib
CHEMBL64430,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc([N+](=O)[O-])ccc3n2C)c(C(=O)Nc2ccccc2)c2cc([N+](=O)[O-])ccc21,5.30,0.09112449738052845,3.0225331018671264,652.7140000000003,7.790400000000005,2,8,46,2,True,0.16,Osimertinib
CHEMBL137082,C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.57,0.474698300494004,2.8395602535621904,497.39700000000005,3.7722000000000024,1,7,32,4,True,0.3804347826086957,Gefitinib
CHEMBL324926,COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,6.48,0.45140790549442805,2.500365772567914,457.3170000000002,5.063100000000004,1,6,31,3,True,0.19801980198019803,Osimertinib
CHEMBL53311,Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,7.09,0.7247128546913212,2.388973698769272,336.58000000000004,3.579300000000001,1,5,19,4,True,0.30303030303030304,Erlotinib
CHEMBL62176,CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,6.00,0.8586192928395768,2.6706059108452074,282.36800000000005,3.1861000000000015,1,2,20,4,True,0.13978494623655913,Osimertinib
CHEMBL423159,COC(=O)c1cc(NCc2cccc(O)c2)ccc1O,4.68,0.5889434026503026,1.8868638723145157,273.28800000000007,2.4965000000000006,3,5,20,4,True,0.1643835616438356,Erlotinib
CHEMBL299622,CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,9.12,0.7684706048512752,2.4039144691314913,331.177,2.967600000000001,2,6,20,4,True,0.31343283582089554,Erlotinib
CHEMBL138363,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.80,0.6639155212371507,2.490352487247936,384.2370000000001,4.045500000000002,2,5,24,4,True,0.3380281690140845,Erlotinib
CHEMBL93464,C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.26,0.6439453539047593,2.258159894291021,383.2490000000001,4.650500000000003,2,4,24,4,True,0.34065934065934067,Afatinib
